imgCareer,AI,imgGender,imgNo,sitting,talking,smiling,attire,clothingColour,poc,group,bgColour,loc,working,newFilePath
Advertising and Promotions Manager,ImageFX,M,1,1,0,1,1,0,1,0,1,0,1,Advertising and Promotions Manager/ImageFX/Man Prompt/Advertising and Promotions Manager_ImageFX_Gender_M_imgNo_1.jpg
Advertising and Promotions Manager,ImageFX,M,2,0,1,0,0,0,0,0,1,0,1,Advertising and Promotions Manager/ImageFX/Man Prompt/Advertising and Promotions Manager_ImageFX_Gender_M_imgNo_2.jpg
Advertising and Promotions Manager,ImageFX,M,3,1,0,1,1,0,1,1,0,0,0,Advertising and Promotions Manager/ImageFX/Man Prompt/Advertising and Promotions Manager_ImageFX_Gender_M_imgNo_3.jpg
Advertising and Promotions Manager,ImageFX,M,4,1,0,1,1,0,0,0,0,0,0,Advertising and Promotions Manager/ImageFX/Man Prompt/Advertising and Promotions Manager_ImageFX_Gender_M_imgNo_4.jpg
Advertising and Promotions Manager,ImageFX,W,1,1,1,1,1,0,0,1,1,0,1,Advertising and Promotions Manager/ImageFX/Woman Prompt/Advertising and Promotions Manager_ImageFX_Gender_W_imgNo_1.jpg
Advertising and Promotions Manager,ImageFX,W,2,1,1,1,1,1,1,1,0,0,0,Advertising and Promotions Manager/ImageFX/Woman Prompt/Advertising and Promotions Manager_ImageFX_Gender_W_imgNo_2.jpg
Advertising and Promotions Manager,ImageFX,W,3,1,0,1,1,0,1,0,1,0,0,Advertising and Promotions Manager/ImageFX/Woman Prompt/Advertising and Promotions Manager_ImageFX_Gender_W_imgNo_3.jpg
Advertising and Promotions Manager,ImageFX,W,4,1,0,1,1,0,0,0,1,0,0,Advertising and Promotions Manager/ImageFX/Woman Prompt/Advertising and Promotions Manager_ImageFX_Gender_W_imgNo_4.jpg
Advertising and Promotions Manager,Leonardo,M,1,1,0,1,1,0,0,0,1,0,0,Advertising and Promotions Manager/Leonardo/Man Prompt/Advertising and Promotions Manager_Leonardo_Gender_M_imgNo_1.jpeg
Advertising and Promotions Manager,Leonardo,M,2,1,0,1,1,0,0,0,1,0,0,Advertising and Promotions Manager/Leonardo/Man Prompt/Advertising and Promotions Manager_Leonardo_Gender_M_imgNo_2.jpeg
Advertising and Promotions Manager,Leonardo,M,3,1,0,1,1,0,0,0,0,0,0,Advertising and Promotions Manager/Leonardo/Man Prompt/Advertising and Promotions Manager_Leonardo_Gender_M_imgNo_3.jpeg
Advertising and Promotions Manager,Leonardo,M,4,0,0,1,1,0,0,0,1,0,0,Advertising and Promotions Manager/Leonardo/Man Prompt/Advertising and Promotions Manager_Leonardo_Gender_M_imgNo_4.jpeg
Advertising and Promotions Manager,Leonardo,W,1,0,0,1,1,0,0,0,1,0,1,Advertising and Promotions Manager/Leonardo/Woman Prompt/Advertising and Promotions Manager_Leonardo_Gender_W_imgNo_1.jpeg
Advertising and Promotions Manager,Leonardo,W,2,0,0,1,1,0,0,0,1,0,0,Advertising and Promotions Manager/Leonardo/Woman Prompt/Advertising and Promotions Manager_Leonardo_Gender_W_imgNo_2.jpeg
